Date,Portfolio_Dollar_Value,Daily_PnL,Portfolio_Dollar_Value_Prior,VaR_pct_250d_95.0%,ES_pct_250d_95.0%,VaR_1d_$250d_95.0%,ES_1d_$250d_95.0%,VaR_10d_$250d_95.0%,ES_10d_$250d_95.0%,VaR_pct_250d_99.0%,ES_pct_250d_99.0%,VaR_1d_$250d_99.0%,ES_1d_$250d_99.0%,VaR_10d_$250d_99.0%,ES_10d_$250d_99.0%,VaR_pct_250d_99.5%,ES_pct_250d_99.5%,VaR_1d_$250d_99.5%,ES_1d_$250d_99.5%,VaR_10d_$250d_99.5%,ES_10d_$250d_99.5%,VaR_pct_500d_95.0%,ES_pct_500d_95.0%,VaR_1d_$500d_95.0%,ES_1d_$500d_95.0%,VaR_10d_$500d_95.0%,ES_10d_$500d_95.0%,VaR_pct_500d_99.0%,ES_pct_500d_99.0%,VaR_1d_$500d_99.0%,ES_1d_$500d_99.0%,VaR_10d_$500d_99.0%,ES_10d_$500d_99.0%,VaR_pct_500d_99.5%,ES_pct_500d_99.5%,VaR_1d_$500d_99.5%,ES_1d_$500d_99.5%,VaR_10d_$500d_99.5%,ES_10d_$500d_99.5%,VaR_pct_750d_95.0%,ES_pct_750d_95.0%,VaR_1d_$750d_95.0%,ES_1d_$750d_95.0%,VaR_10d_$750d_95.0%,ES_10d_$750d_95.0%,VaR_pct_750d_99.0%,ES_pct_750d_99.0%,VaR_1d_$750d_99.0%,ES_1d_$750d_99.0%,VaR_10d_$750d_99.0%,ES_10d_$750d_99.0%,VaR_pct_750d_99.5%,ES_pct_750d_99.5%,VaR_1d_$750d_99.5%,ES_1d_$750d_99.5%,VaR_10d_$750d_99.5%,ES_10d_$750d_99.5%,VaR_1d_$_250d_95.0%,ES_1d_$_250d_95.0%,VaR_10d_$_250d_95.0%,ES_10d_$_250d_95.0%,VaR_1d_$_250d_99.0%,ES_1d_$_250d_99.0%,VaR_10d_$_250d_99.0%,ES_10d_$_250d_99.0%,VaR_1d_$_250d_99.5%,ES_1d_$_250d_99.5%,VaR_10d_$_250d_99.5%,ES_10d_$_250d_99.5%,VaR_1d_$_500d_95.0%,ES_1d_$_500d_95.0%,VaR_10d_$_500d_95.0%,ES_10d_$_500d_95.0%,VaR_1d_$_500d_99.0%,ES_1d_$_500d_99.0%,VaR_10d_$_500d_99.0%,ES_10d_$_500d_99.0%,VaR_1d_$_500d_99.5%,ES_1d_$_500d_99.5%,VaR_10d_$_500d_99.5%,ES_10d_$_500d_99.5%,VaR_1d_$_750d_95.0%,ES_1d_$_750d_95.0%,VaR_10d_$_750d_95.0%,ES_10d_$_750d_95.0%,VaR_1d_$_750d_99.0%,ES_1d_$_750d_99.0%,VaR_10d_$_750d_99.0%,ES_10d_$_750d_99.0%,VaR_1d_$_750d_99.5%,ES_1d_$_750d_99.5%,VaR_10d_$_750d_99.5%,ES_10d_$_750d_99.5%
2023-07-20,1691239.8538011103,-3368.1557940475177,1694608.009595158,0.019778792681306334,0.024218416874100885,33517.300497863806,41040.72321456589,105991.01059354522,129782.16217857553,0.027098947384604166,0.03222974561665585,45922.09328954798,54616.78506919944,145218.40971770583,172713.43929454728,0.029829749798685246,0.03479514473268169,50549.73293307157,58964.13095902517,159852.29118173005,186460.95408296803,0.020360902718279394,0.028706150727151006,34503.74882898409,48645.672946875966,109110.43411395728,153831.12482376318,0.03511198306099239,0.03901467527196774,59501.04772792722,66114.58120763068,188158.83398663678,209072.66316427864,0.03929055588903685,0.04025599147190454,66582.09071100804,68218.12558248382,210551.0580227253,215724.65454804958,0.019778792681306334,0.02684135085847597,33517.300497863806,45485.56815312725,105991.01059354522,143837.9960307006,0.03166472769449058,0.03678290394673059,53659.30117273336,62332.60364429901,169685.60935878163,197113.00000449686,0.03919341888313266,0.03999034832471157,66417.48156277472,67767.96457755654,210030.51819060772,214301.12045868914,33517.300497863806,41040.72321456589,105991.01059354522,129782.16217857553,45922.09328954798,54616.78506919944,145218.40971770583,172713.43929454728,50549.73293307157,58964.13095902517,159852.29118173005,186460.95408296803,34503.74882898409,48645.672946875966,109110.43411395728,153831.12482376318,59501.04772792722,66114.58120763068,188158.83398663678,209072.66316427864,66582.09071100804,68218.12558248382,210551.0580227253,215724.65454804958,33517.300497863806,45485.56815312725,105991.01059354522,143837.9960307006,53659.30117273336,62332.60364429901,169685.60935878163,197113.00000449686,66417.48156277472,67767.96457755654,210030.51819060772,214301.12045868914
2023-07-21,1695157.2472222454,3917.393421134912,1691239.8538011103,0.019778792681306334,0.024218416874100885,33450.682442695,40959.15181344873,105780.34580592102,129524.21075911408,0.027098947384604166,0.03222974561665585,45830.81981290193,54508.230264760015,144929.7776415421,172370.15886156456,0.029829749798685246,0.03479514473268169,50449.261688452134,58846.93549068906,159534.57320938067,186090.34947157576,0.020360902718279394,0.028706150727151006,34435.170136521476,48548.986158979504,108893.56924681918,153525.37435436476,0.03511198306099239,0.03901467527196774,59382.785098739834,65983.17370306051,187784.8547163247,208657.11614819797,0.03929055588903685,0.04025599147190454,66449.75399753904,68082.53713156258,210132.57259010218,215295.88621872454,0.019778792681306334,0.02684135085847597,33450.682442695,45395.16230171321,105780.34580592102,143552.10762642548,0.03166472769449058,0.03678290394673059,53552.649436682215,62208.71309324892,169348.34695644892,196721.22368260525,0.03919341888313266,0.03999034832471157,66285.47202187496,67633.27085414068,209613.06736849132,213875.18150616623,33450.682442695,40959.15181344873,105780.34580592102,129524.21075911408,45830.81981290193,54508.230264760015,144929.7776415421,172370.15886156456,50449.261688452134,58846.93549068906,159534.57320938067,186090.34947157576,34435.170136521476,48548.986158979504,108893.56924681918,153525.37435436476,59382.785098739834,65983.17370306051,187784.8547163247,208657.11614819797,66449.75399753904,68082.53713156258,210132.57259010218,215295.88621872454,33450.682442695,45395.16230171321,105780.34580592102,143552.10762642548,53552.649436682215,62208.71309324892,169348.34695644892,196721.22368260525,66285.47202187496,67633.27085414068,209613.06736849132,213875.18150616623
2023-07-24,1700416.4269768822,5259.179754636716,1695157.2472222454,0.019778792681306334,0.024218416874100885,33528.16375502274,41054.024880381636,106025.36322897558,129824.22573922768,0.027098947384604166,0.03222974561665585,45936.97705110606,54634.486858203556,145265.47630438022,172769.41726646002,0.029829749798685246,0.03479514473268169,50566.11655406761,58983.24176175231,159904.10074039848,186521.38774749995,0.020360902718279394,0.028706150727151006,34514.93180287843,48661.43944498416,109145.7977824776,153880.98286850977,0.03511198306099239,0.03901467527196774,59520.33255018597,66136.00953529864,188219.81794924595,209140.42548615782,0.03929055588903685,0.04025599147190454,66603.67056269149,68240.23568771589,210619.29950561363,215794.57283988895,0.019778792681306334,0.02684135085847597,33528.16375502274,45500.31043298058,106025.36322897558,143884.61521294073,0.03166472769449058,0.03678290394673059,53676.69263263465,62352.80619918009,169740.6059839052,197176.88609247564,0.03919341888313266,0.03999034832471157,66439.00806315953,67789.9287815768,210098.59096187624,214370.57737038578,33528.16375502274,41054.024880381636,106025.36322897558,129824.22573922768,45936.97705110606,54634.486858203556,145265.47630438022,172769.41726646002,50566.11655406761,58983.24176175231,159904.10074039848,186521.38774749995,34514.93180287843,48661.43944498416,109145.7977824776,153880.98286850977,59520.33255018597,66136.00953529864,188219.81794924595,209140.42548615782,66603.67056269149,68240.23568771589,210619.29950561363,215794.57283988895,33528.16375502274,45500.31043298058,106025.36322897558,143884.61521294073,53676.69263263465,62352.80619918009,169740.6059839052,197176.88609247564,66439.00806315953,67789.9287815768,210098.59096187624,214370.57737038578
2023-07-25,1700910.0434856254,493.61650874326006,1700416.4269768822,0.019778792681306334,0.024218416874100885,33632.18398106343,41181.393888095256,106354.30406598971,130227.00190691827,0.027098947384604166,0.03222974561665585,46079.49528656314,54803.98888384777,145716.15853653278,173305.42973550802,0.029829749798685246,0.03479514473268169,50722.99657029474,59166.235682490085,160400.19891104038,187100.06533499563,0.020360902718279394,0.028706150727151006,34622.013450240534,48812.41025172194,109484.4196837448,154358.3944779943,0.03511198306099239,0.03901467527196774,59704.992780645494,66341.1947256227,188803.7648707496,209789.27802971698,0.03929055588903685,0.04025599147190454,66810.30665877153,68451.94918306776,211272.74021603193,216464.06969659633,0.019778792681306334,0.02684135085847597,33632.18398106343,45641.47392200258,106354.30406598971,144331.01336070642,0.03166472769449058,0.03678290394673059,53843.2231274616,62546.25410293348,170267.22164743324,197788.6220769214,0.03919341888313266,0.03999034832471157,66645.1332982647,68000.24521186699,210750.41618804625,215035.6563194588,33632.18398106343,41181.393888095256,106354.30406598971,130227.00190691827,46079.49528656314,54803.98888384777,145716.15853653278,173305.42973550802,50722.99657029474,59166.235682490085,160400.19891104038,187100.06533499563,34622.013450240534,48812.41025172194,109484.4196837448,154358.3944779943,59704.992780645494,66341.1947256227,188803.7648707496,209789.27802971698,66810.30665877153,68451.94918306776,211272.74021603193,216464.06969659633,33632.18398106343,45641.47392200258,106354.30406598971,144331.01336070642,53843.2231274616,62546.25410293348,170267.22164743324,197788.6220769214,66645.1332982647,68000.24521186699,210750.41618804625,215035.6563194588
2023-07-26,1701734.299346568,824.2558609426487,1700910.0434856254,0.019778792681306334,0.024218416874100885,33641.94711965392,41193.34849847994,106385.17782104756,130264.80570427378,0.027098947384604166,0.03222974561665585,46092.871774361745,54819.89801835675,145758.45870506982,173355.73883615836,0.029829749798685246,0.03479514473268169,50737.72102724705,59183.41114035425,160446.7617323188,187154.37890170264,0.020360902718279394,0.028706150727151006,34632.06392795519,48826.58008162333,109516.20208489588,154403.20341453984,0.03511198306099239,0.03901467527196774,59722.32463513911,66360.4530134202,188858.5730070241,209850.17808299215,0.03929055588903685,0.04025599147190454,66829.70112579607,68471.82020503412,211334.07090583452,216526.90738544526,0.019778792681306334,0.02684135085847597,33641.94711965392,45654.72325590329,106385.17782104756,144372.91143331278,0.03166472769449058,0.03678290394673059,53858.853359796456,62564.41075156111,170316.648781969,197846.03844126008,0.03919341888313266,0.03999034832471157,66664.4798168595,68019.98510799046,210811.59525160064,215098.0793519841,33641.94711965392,41193.34849847994,106385.17782104756,130264.80570427378,46092.871774361745,54819.89801835675,145758.45870506982,173355.73883615836,50737.72102724705,59183.41114035425,160446.7617323188,187154.37890170264,34632.06392795519,48826.58008162333,109516.20208489588,154403.20341453984,59722.32463513911,66360.4530134202,188858.5730070241,209850.17808299215,66829.70112579607,68471.82020503412,211334.07090583452,216526.90738544526,33641.94711965392,45654.72325590329,106385.17782104756,144372.91143331278,53858.853359796456,62564.41075156111,170316.648781969,197846.03844126008,66664.4798168595,68019.98510799046,210811.59525160064,215098.0793519841
2023-07-27,1700690.982191282,-1043.317155286204,1701734.299346568,0.019778792681306334,0.024218416874100885,33658.24990544386,41213.31067053117,106436.73175634959,130327.93163499983,0.027098947384604166,0.03222974561665585,46115.208240568885,54846.46357507796,145829.09281316373,173439.7465027078,0.029829749798685246,0.03479514473268169,50762.308373349064,59212.091242332506,160524.51374762002,187245.07334747983,0.020360902718279394,0.028706150727151006,34648.84652135482,48850.241294605294,109569.27330508322,154478.0267397652,0.03511198306099239,0.03901467527196774,59751.265892966454,66392.6110881759,188950.09330010865,209951.87084438608,0.03929055588903685,0.04025599147190454,66862.0865967673,68505.00144194289,211436.48275720087,216631.83566965864,0.019778792681306334,0.02684135085847597,33658.24990544386,45676.84739666401,106436.73175634959,144442.8741093908,0.03166472769449058,0.03678290394673059,53884.95319718379,62594.72927572169,170399.183714673,197941.91403290236,0.03919341888313266,0.03999034832471157,66696.7852220843,68052.94738697825,210913.7539128457,215202.31523045542,33658.24990544386,41213.31067053117,106436.73175634959,130327.93163499983,46115.208240568885,54846.46357507796,145829.09281316373,173439.7465027078,50762.308373349064,59212.091242332506,160524.51374762002,187245.07334747983,34648.84652135482,48850.241294605294,109569.27330508322,154478.0267397652,59751.265892966454,66392.6110881759,188950.09330010865,209951.87084438608,66862.0865967673,68505.00144194289,211436.48275720087,216631.83566965864,33658.24990544386,45676.84739666401,106436.73175634959,144442.8741093908,53884.95319718379,62594.72927572169,170399.183714673,197941.91403290236,66696.7852220843,68052.94738697825,210913.7539128457,215202.31523045542
2023-07-28,1716809.8557799358,16118.87358865398,1700690.982191282,0.019778792681306334,0.024218416874100885,33637.61435172861,41188.04318073255,106371.47640583066,130248.0288164811,0.027098947384604166,0.03222974561665585,46086.93544387233,54812.8377285656,145739.68637977974,173333.4122394775,0.029829749798685246,0.03479514473268169,50731.18648364621,59175.78887091224,160426.09769107046,187130.2751693264,0.020360902718279394,0.028706150727151006,34627.60364225173,48820.29167508943,109502.09742305786,154383.31772703963,0.03511198306099239,0.03901467527196774,59714.63295868281,66351.90640815673,188834.24979039707,209823.1513440972,0.03929055588903685,0.04025599147190454,66821.09408576755,68463.0016754372,211306.85305543215,216499.0207463054,0.019778792681306334,0.02684135085847597,33637.61435172861,45648.84335484231,106371.47640583066,144354.31755354363,0.03166472769449058,0.03678290394673059,53851.91684356268,62556.35304101283,170294.71359164352,197820.55772320114,0.03919341888313266,0.03999034832471157,66655.89405578922,68011.22477052522,210784.44469117254,215070.37673252224,33637.61435172861,41188.04318073255,106371.47640583066,130248.0288164811,46086.93544387233,54812.8377285656,145739.68637977974,173333.4122394775,50731.18648364621,59175.78887091224,160426.09769107046,187130.2751693264,34627.60364225173,48820.29167508943,109502.09742305786,154383.31772703963,59714.63295868281,66351.90640815673,188834.24979039707,209823.1513440972,66821.09408576755,68463.0016754372,211306.85305543215,216499.0207463054,33637.61435172861,45648.84335484231,106371.47640583066,144354.31755354363,53851.91684356268,62556.35304101283,170294.71359164352,197820.55772320114,66655.89405578922,68011.22477052522,210784.44469117254,215070.37673252224
2023-07-31,1723940.2214177102,7130.365637774346,1716809.8557799358,0.019778792681306334,0.024218416874100885,33956.42621069478,41578.4167808435,107379.64802523612,131482.49853123148,0.027098947384604166,0.03222974561665585,46523.739951150346,55332.344923954945,147120.98351500588,174976.23823775395,0.029829749798685246,0.03479514473268169,51212.008449832385,59736.647410357255,161946.59025325923,188903.86559912804,0.020360902718279394,0.028706150727151006,34955.798459318554,49283.00248987722,110539.94056125132,155846.53779976134,0.03511198306099239,0.03901467527196774,60280.5985750899,66980.77902696797,190623.99021558464,211811.82117765554,0.03929055588903685,0.04025599147190454,67454.41358937086,69111.88291315876,213309.58517342582,218550.96338845466,0.019778792681306334,0.02684135085847597,33956.42621069478,46081.49569627879,107379.64802523612,145722.48438748776,0.03166472769449058,0.03678290394673059,54362.31658648931,63149.252019953776,171908.7392964561,199695.46891904273,0.03919341888313266,0.03999034832471157,67287.64782027359,68655.82413993747,212782.22550732872,217108.7789181732,33956.42621069478,41578.4167808435,107379.64802523612,131482.49853123148,46523.739951150346,55332.344923954945,147120.98351500588,174976.23823775395,51212.008449832385,59736.647410357255,161946.59025325923,188903.86559912804,34955.798459318554,49283.00248987722,110539.94056125132,155846.53779976134,60280.5985750899,66980.77902696797,190623.99021558464,211811.82117765554,67454.41358937086,69111.88291315876,213309.58517342582,218550.96338845466,33956.42621069478,46081.49569627879,107379.64802523612,145722.48438748776,54362.31658648931,63149.252019953776,171908.7392964561,199695.46891904273,67287.64782027359,68655.82413993747,212782.22550732872,217108.7789181732
2023-08-01,1722855.0245183846,-1085.1968993255869,1723940.2214177102,0.019778792681306334,0.024218416874100885,34097.45623438623,41751.10294832389,107825.62411856861,132028.5801408748,0.027098947384604166,0.03222974561665585,46716.965354401385,55562.15479461416,147732.01589108366,175702.96085782576,0.029829749798685246,0.03479514473268169,51424.70547278034,59984.74951472055,162619.19729731188,189688.43334119683,0.020360902718279394,0.028706150727151006,35100.97914041504,49487.68784061487,110999.04218577077,156493.80971176276,0.03511198306099239,0.03901467527196774,60530.95985258211,67258.96792689612,191415.70209036948,212691.53172120513,0.03929055588903685,0.04025599147190454,67734.5696189711,69398.92285146457,214195.51632719213,219458.66337293526,0.019778792681306334,0.02684135085847597,34097.45623438623,46272.88434211151,107825.62411856861,146327.70842661444,0.03166472769449058,0.03678290394673059,54588.09767277159,63411.5275743131,172622.72178169512,200524.8570454015,0.03919341888313266,0.03999034832471157,67567.11122750478,68940.96994547463,213665.96639685045,218010.48912891408,34097.45623438623,41751.10294832389,107825.62411856861,132028.5801408748,46716.965354401385,55562.15479461416,147732.01589108366,175702.96085782576,51424.70547278034,59984.74951472055,162619.19729731188,189688.43334119683,35100.97914041504,49487.68784061487,110999.04218577077,156493.80971176276,60530.95985258211,67258.96792689612,191415.70209036948,212691.53172120513,67734.5696189711,69398.92285146457,214195.51632719213,219458.66337293526,34097.45623438623,46272.88434211151,107825.62411856861,146327.70842661444,54588.09767277159,63411.5275743131,172622.72178169512,200524.8570454015,67567.11122750478,68940.96994547463,213665.96639685045,218010.48912891408
2023-08-02,1707647.013629394,-15208.010888990711,1722855.0245183846,0.019778792681306334,0.024218416874100885,34075.99234989607,41724.82119742554,107757.74935614495,131945.46994713883,0.027098947384604166,0.03222974561665585,46687.557660724626,55527.17917460491,147639.02059833257,175592.35823602,0.029829749798685246,0.03479514473268169,51392.334320791146,59946.98993154506,162516.83072654254,189569.02705486372,0.020360902718279394,0.028706150727151006,35078.88355191769,49456.53601485419,110929.16979987732,156395.2989890863,0.03511198306099239,0.03901467527196774,60492.85643743515,67216.62932226279,191295.2085118741,212557.64529761046,0.03929055588903685,0.04025599147190454,67691.93162954754,69355.23717433999,214060.68316576353,219320.51713209486,0.019778792681306334,0.02684135085847597,34075.99234989607,46243.75619138618,107757.74935614495,146235.5971262937,0.03166472769449058,0.03678290394673059,54553.73520845954,63371.610881001914,172514.05812845277,200398.62937787574,0.03919341888313266,0.03999034832471157,67524.57865085884,68897.5725434697,213531.4665798936,217873.25449404452,34075.99234989607,41724.82119742554,107757.74935614495,131945.46994713883,46687.557660724626,55527.17917460491,147639.02059833257,175592.35823602,51392.334320791146,59946.98993154506,162516.83072654254,189569.02705486372,35078.88355191769,49456.53601485419,110929.16979987732,156395.2989890863,60492.85643743515,67216.62932226279,191295.2085118741,212557.64529761046,67691.93162954754,69355.23717433999,214060.68316576353,219320.51713209486,34075.99234989607,46243.75619138618,107757.74935614495,146235.5971262937,54553.73520845954,63371.610881001914,172514.05812845277,200398.62937787574,67524.57865085884,68897.5725434697,213531.4665798936,217873.25449404452
