Date,Portfolio_Dollar_Value
2020-07-24,1000000.0
2020-07-27,1002901.5383549833
2020-07-28,996076.713843409
2020-07-29,1012147.976276804
2020-07-30,1004080.1006689903
2020-07-31,997377.4514671221
2020-08-03,1000115.5906922414
2020-08-04,1004289.5660593458
2020-08-05,1014408.6487590988
2020-08-06,1013830.7115114231
2020-08-07,1026970.1757034038
2020-08-10,1042993.6434789222
2020-08-11,1038730.3881651826
2020-08-12,1045959.9729603233
2020-08-13,1039687.8447908631
2020-08-14,1043983.5666119242
2020-08-17,1045443.9025361657
2020-08-18,1039049.254088316
2020-08-19,1036250.1084113247
2020-08-20,1028310.1328669313
2020-08-21,1026185.7475995411
2020-08-24,1044970.5407050571
2020-08-25,1045146.1534125217
2020-08-26,1042405.3206592703
2020-08-27,1046677.0527761304
2020-08-28,1056835.8240519355
2020-08-31,1045194.667201212
2020-09-01,1051339.0297201548
2020-09-02,1071467.9647581156
2020-09-03,1046888.4457921366
2020-09-04,1046568.876824904
2020-09-08,1021417.1496876354
2020-09-09,1032557.6538783625
2020-09-10,1016322.50993411
2020-09-11,1020121.4039084566
2020-09-14,1039635.3247403977
2020-09-15,1040301.1910152516
2020-09-16,1049821.9235753291
2020-09-17,1043249.7925674152
2020-09-18,1030517.5918595148
2020-09-21,1005635.3301131134
2020-09-22,1010365.1535328495
2020-09-23,990363.6271313081
2020-09-24,992304.0971417177
2020-09-25,1004147.1134287993
2020-09-28,1024526.3669260775
2020-09-29,1014709.2215638185
2020-09-30,1022682.3129778677
2020-10-01,1027245.767353046
2020-10-02,1033778.771594102
2020-10-05,1057290.594033002
2020-10-06,1043105.0810450969
2020-10-07,1064384.1994509299
2020-10-08,1079788.4220813739
2020-10-09,1082919.7572829549
2020-10-12,1091601.1381347752
2020-10-13,1078455.5086057072
2020-10-14,1072595.4196126263
2020-10-15,1073197.1031878733
2020-10-16,1074133.4001367402
2020-10-19,1059481.8373996112
2020-10-20,1065234.8794015818
2020-10-21,1062886.2186414073
2020-10-22,1073271.8364334663
2020-10-23,1077011.5214621641
2020-10-26,1053709.8799129846
2020-10-27,1038341.2136169298
2020-10-28,1007883.0196837443
2020-10-29,1026331.8102084338
2020-10-30,1024022.0812262135
2020-11-02,1051476.434828163
2020-11-03,1075120.6757663735
2020-11-04,1073672.7970473228
2020-11-05,1097417.3166804833
2020-11-06,1093680.8055136846
2020-11-09,1147905.9857908709
2020-11-10,1159070.4964785199
2020-11-11,1151692.709894287
2020-11-12,1137008.4670982037
2020-11-13,1163820.0883651823
2020-11-16,1188787.4203101469
2020-11-17,1186575.789960917
2020-11-18,1173959.281760197
2020-11-19,1178855.5276765095
2020-11-20,1172504.5472567775
2020-11-23,1191951.4762070025
2020-11-24,1217297.0038586624
2020-11-25,1207086.4514711138
2020-11-27,1206680.179840219
2020-11-30,1189547.4839354884
2020-12-01,1205758.2274612284
2020-12-02,1209109.050466005
2020-12-03,1214278.0569663395
2020-12-04,1231282.0461601522
2020-12-07,1228760.1911928367
2020-12-08,1230947.8213570928
2020-12-09,1230214.70881782
2020-12-10,1225830.9037999352
2020-12-11,1216623.7516644576
2020-12-14,1202551.670582051
2020-12-15,1220565.0251611676
2020-12-16,1217891.1664063702
2020-12-17,1223955.1358144311
2020-12-18,1214786.067051061
2020-12-21,1212074.0981189797
2020-12-22,1207863.7432699155
2020-12-23,1216801.2274567822
2020-12-24,1220649.6461614736
2020-12-28,1224120.5067199382
2020-12-29,1218087.3039880933
2020-12-30,1229523.1411718004
2020-12-31,1238178.3359359575
2021-01-04,1218943.2421581624
