Date,Portfolio_PnL
2020-07-24,0.0
2020-07-27,2901.5383549833205
2020-07-28,-6824.824511574348
2020-07-29,16071.262433395023
2020-07-30,-8067.8756078137085
2020-07-31,-6702.649201868218
2020-08-03,2738.1392251193756
2020-08-04,4173.975367104402
2020-08-05,10119.082699752995
2020-08-06,-577.9372476757271
2020-08-07,13139.46419198066
2020-08-10,16023.467775518424
2020-08-11,-4263.255313739646
2020-08-12,7229.584795140778
2020-08-13,-6272.128169460222
2020-08-14,4295.721821061103
2020-08-17,1460.335924241459
2020-08-18,-6394.648447849671
2020-08-19,-2799.14567699132
2020-08-20,-7939.975544393412
2020-08-21,-2124.385267390171
2020-08-24,18784.793105516
2020-08-25,175.6127074646065
2020-08-26,-2740.832753251423
2020-08-27,4271.732116860105
2020-08-28,10158.771275805077
2020-08-31,-11641.156850723433
2020-09-01,6144.3625189427985
2020-09-02,20128.935037960764
2020-09-03,-24579.51896597899
2020-09-04,-319.56896723259706
2020-09-08,-25151.727137268637
2020-09-09,11140.504190727137
2020-09-10,-16235.143944252515
2020-09-11,3798.8939743465744
2020-09-14,19513.920831941185
2020-09-15,665.866274853819
2020-09-16,9520.732560077566
2020-09-17,-6572.131007913966
2020-09-18,-12732.200707900338
2020-09-21,-24882.261746401433
2020-09-22,4729.823419736116
2020-09-23,-20001.52640154143
2020-09-24,1940.4700104095973
2020-09-25,11843.016287081642
2020-09-28,20379.2534972782
2020-09-29,-9817.145362259005
2020-09-30,7973.091414049151
2020-10-01,4563.45437517832
2020-10-02,6533.004241056042
2020-10-05,23511.822438899893
2020-10-06,-14185.512987905066
2020-10-07,21279.118405833025
2020-10-08,15404.222630443983
2020-10-09,3131.3352015810087
2020-10-12,8681.380851820344
2020-10-13,-13145.629529068014
2020-10-14,-5860.088993080892
2020-10-15,601.6835752469487
2020-10-16,936.2969488669187
2020-10-19,-14651.56273712893
2020-10-20,5753.042001970578
2020-10-21,-2348.6607601745054
2020-10-22,10385.617792058969
2020-10-23,3739.6850286978297
2020-10-26,-23301.641549179563
2020-10-27,-15368.666296054726
2020-10-28,-30458.19393318554
2020-10-29,18448.79052468948
2020-10-30,-2309.7289822202874
2020-11-02,27454.353601949406
2020-11-03,23644.240938210627
2020-11-04,-1447.87871905067
2020-11-05,23744.51963316044
2020-11-06,-3736.5111667986494
2020-11-09,54225.18027718621
2020-11-10,11164.510687649017
2020-11-11,-7377.786584232934
