symbol,sector,date_added,yf_symbol
EA,Communication Services,2002-07-22,EA
GOOGL,Communication Services,2006-04-03,GOOGL
BKNG,Consumer Discretionary,2009-11-06,BKNG
GM,Consumer Discretionary,2013-06-06,GM
ROST,Consumer Discretionary,2009-12-21,ROST
TPR,Consumer Discretionary,2004-09-01,TPR
ULTA,Consumer Discretionary,2016-04-18,ULTA
KMB,Consumer Staples,1957-03-04,KMB
KR,Consumer Staples,1957-03-04,KR
PM,Consumer Staples,2008-03-31,PM
TGT,Consumer Staples,1976-12-31,TGT
APA,Energy,1997-07-28,APA
BKR,Energy,2017-07-07,BKR
AFL,Financials,1999-05-28,AFL
AON,Financials,1996-04-23,AON
CINF,Financials,1997-12-18,CINF
COF,Financials,1998-07-01,COF
L,Financials,1995-05-31,L
NDAQ,Financials,2008-10-22,NDAQ
RF,Financials,1998-08-28,RF
TFC,Financials,1997-12-04,TFC
CI,Health Care,1976-06-30,CI
DVA,Health Care,2008-07-31,DVA
LLY,Health Care,1970-12-31,LLY
RVTY,Health Care,1985-05-31,RVTY
VRTX,Health Care,2013-09-23,VRTX
ZBH,Health Care,2001-08-07,ZBH
BA,Industrials,1957-03-04,BA
CMI,Industrials,1965-03-31,CMI
ETN,Industrials,1957-03-04,ETN
MAS,Industrials,1981-06-30,MAS
MMM,Industrials,1957-03-04,MMM
PWR,Industrials,2009-07-01,PWR
TXT,Industrials,1978-12-31,TXT
URI,Industrials,2014-09-20,URI
INTU,Information Technology,2000-12-05,INTU
KLAC,Information Technology,1997-09-30,KLAC
LRCX,Information Technology,2012-06-29,LRCX
NOW,Information Technology,2019-11-21,NOW
ROP,Information Technology,2009-12-23,ROP
TXN,Information Technology,2001-03-12,TXN
APD,Materials,1985-04-30,APD
ECL,Materials,1989-01-31,ECL
MLM,Materials,2014-07-02,MLM
EQR,Real Estate,2001-12-03,EQR
ESS,Real Estate,2014-04-02,ESS
HST,Real Estate,2007-03-20,HST
D,Utilities,2016-11-30,D
ED,Utilities,1957-03-04,ED
SO,Utilities,1957-03-04,SO
